algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs2,1,100,0.000015,0.000005,0.000000,0.000008,0.000004,0.000021,1
bs2,2,100,0.000058,0.000006,0.000000,0.000008,0.000007,0.000025,1
bs2,3,100,0.000066,0.000008,0.000000,0.000009,0.000008,0.000029,1
bs2,4,100,0.000087,0.000008,0.000000,0.000010,0.000011,0.000034,1
bs2,6,100,0.000145,0.000025,0.000000,0.000010,0.000010,0.000051,1
bs2,8,100,0.000175,0.000024,0.000000,0.000011,0.000011,0.000052,1
bs2,10,100,0.000212,0.000031,0.000000,0.000012,0.000011,0.000061,1
bs2,12,100,0.000261,0.000044,0.000000,0.000012,0.000013,0.000076,1
bs2,16,100,0.000342,0.000057,0.000000,0.000013,0.000013,0.000092,1
bs2,20,100,0.000423,0.000069,0.000000,0.000015,0.000015,0.000111,1
bs2,24,100,0.000512,0.000017,0.000000,0.000016,0.000017,0.000066,1
bs2,32,100,0.000675,0.000019,0.000000,0.000033,0.000029,0.000103,1
bs2,48,100,0.001281,0.000035,0.000000,0.000042,0.000035,0.000146,1
bs2,1,300,0.000012,0.000008,0.000000,0.000011,0.000008,0.000031,1
bs2,2,300,0.000053,0.000016,0.000000,0.000018,0.000019,0.000058,1
bs2,3,300,0.000067,0.000015,0.000000,0.000021,0.000022,0.000062,1
bs2,4,300,0.000092,0.000024,0.000000,0.000021,0.000023,0.000074,1
bs2,6,300,0.000124,0.000018,0.000000,0.000024,0.000024,0.000072,1
bs2,8,300,0.000159,0.000023,0.000000,0.000026,0.000027,0.000082,1
bs2,10,300,0.000202,0.000032,0.000000,0.000026,0.000026,0.000094,1
bs2,12,300,0.000234,0.000042,0.000000,0.000028,0.000027,0.000104,1
bs2,16,300,0.000309,0.000055,0.000000,0.000027,0.000030,0.000122,1
bs2,20,300,0.000396,0.000060,0.000000,0.000030,0.000031,0.000132,1
bs2,24,300,0.000465,0.000075,0.000000,0.000031,0.000034,0.000153,1
bs2,32,300,0.000652,0.000065,0.000000,0.000054,0.000056,0.000202,1
