algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs2,1,100,0.000012,0.000005,0.000000,0.000005,0.000003,0.000018,1
bs2,2,100,0.000063,0.000008,0.000000,0.000003,0.000003,0.000018,1
bs2,3,100,0.000074,0.000007,0.000000,0.000003,0.000003,0.000017,1
bs2,4,100,0.000097,0.000008,0.000000,0.000003,0.000005,0.000020,1
bs2,6,100,0.000137,0.000020,0.000000,0.000003,0.000003,0.000034,1
bs2,8,100,0.000178,0.000024,0.000000,0.000003,0.000004,0.000036,1
bs2,10,100,0.000211,0.000033,0.000000,0.000004,0.000004,0.000048,1
bs2,12,100,0.000254,0.000043,0.000000,0.000004,0.000006,0.000060,1
bs2,16,100,0.000344,0.000041,0.000000,0.000005,0.000005,0.000059,1
bs2,20,100,0.000415,0.000065,0.000000,0.000006,0.000008,0.000091,1
bs2,24,100,0.000490,0.000014,0.000000,0.000007,0.000008,0.000040,1
bs2,32,100,0.000671,0.000023,0.000000,0.000011,0.000012,0.000066,1
bs2,48,100,0.001011,0.000029,0.000000,0.000015,0.000018,0.000096,1
bs2,1,300,0.000012,0.000008,0.000000,0.000007,0.000005,0.000024,1
bs2,2,300,0.000049,0.000012,0.000000,0.000005,0.000003,0.000026,1
bs2,3,300,0.000064,0.000015,0.000000,0.000005,0.000003,0.000029,1
bs2,4,300,0.000088,0.000016,0.000000,0.000004,0.000004,0.000030,1
bs2,6,300,0.000119,0.000026,0.000000,0.000004,0.000004,0.000040,1
bs2,8,300,0.000190,0.000028,0.000000,0.000004,0.000006,0.000045,1
bs2,10,300,0.000202,0.000039,0.000000,0.000004,0.000004,0.000057,1
bs2,12,300,0.000458,0.000036,0.000000,0.000004,0.000005,0.000054,1
bs2,16,300,0.000317,0.000045,0.000000,0.000005,0.000008,0.000069,1
bs2,20,300,0.000383,0.000022,0.000000,0.000006,0.000007,0.000048,1
bs2,24,300,0.000459,0.000082,0.000000,0.000008,0.000009,0.000113,1
bs2,32,300,0.000659,0.000027,0.000000,0.000015,0.000019,0.000088,1
bs2,48,300,0.001012,0.000091,0.000000,0.000020,0.000021,0.000172,1
bs2,1,500,0.000013,0.000010,0.000000,0.000011,0.000008,0.000034,1
bs2,2,500,0.000050,0.000021,0.000000,0.000008,0.000005,0.000039,1
bs2,3,500,0.000065,0.000020,0.000000,0.000007,0.000007,0.000039,1
bs2,4,500,0.000091,0.000020,0.000000,0.000006,0.000005,0.000037,1
bs2,6,500,0.000133,0.000031,0.000000,0.000005,0.000006,0.000048,1
bs2,8,500,0.000153,0.000024,0.000000,0.000005,0.000005,0.000042,1
bs2,10,500,0.000206,0.000017,0.000000,0.000006,0.000006,0.000036,1
bs2,12,500,0.000237,0.000041,0.000000,0.000005,0.000007,0.000062,1
bs2,16,500,0.000330,0.000046,0.000000,0.000007,0.000007,0.000074,1
bs2,20,500,0.000387,0.000054,0.000000,0.000008,0.000010,0.000083,1
bs2,24,500,0.000465,0.000070,0.000000,0.000008,0.000008,0.000103,1
bs2,32,500,0.000641,0.000037,0.000000,0.000013,0.000018,0.000092,1
bs2,48,500,0.000980,0.000081,0.000000,0.000016,0.000024,0.000157,1
bs2,1,1000,0.000016,0.000018,0.000000,0.000020,0.000012,0.000062,1
bs2,2,1000,0.000051,0.000034,0.000000,0.000013,0.000008,0.000066,1
bs2,3,1000,0.000069,0.000034,0.000000,0.000010,0.000008,0.000063,1
bs2,4,1000,0.000091,0.000034,0.000000,0.000009,0.000007,0.000062,1
bs2,6,1000,0.000122,0.000032,0.000000,0.000007,0.000007,0.000054,1
bs2,8,1000,0.000161,0.000039,0.000000,0.000007,0.000007,0.000062,1
bs2,10,1000,0.000227,0.000039,0.000000,0.000007,0.000008,0.000063,1
bs2,12,1000,0.000241,0.000045,0.000000,0.000006,0.000008,0.000069,1
bs2,16,1000,0.000319,0.000054,0.000000,0.000007,0.000009,0.000081,1
bs2,20,1000,0.000382,0.000062,0.000000,0.000008,0.000009,0.000091,1
bs2,24,1000,0.000470,0.000073,0.000000,0.000008,0.000011,0.000106,1
bs2,32,1000,0.000867,0.000035,0.000000,0.000011,0.000016,0.000091,1
