algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs3,1,100,0.000014,0.000004,0.000005,0.000005,0.000003,0.000027,1
bs3,2,100,0.000059,0.000004,0.000010,0.000007,0.000007,0.000046,1
bs3,3,100,0.000077,0.000006,0.000010,0.000008,0.000008,0.000059,1
bs3,4,100,0.000091,0.000023,0.000010,0.000009,0.000010,0.000088,1
bs3,6,100,0.000132,0.000023,0.000010,0.000010,0.000011,0.000108,1
bs3,8,100,0.000180,0.000023,0.000010,0.000010,0.000010,0.000119,1
bs3,10,100,0.000212,0.000031,0.000011,0.000010,0.000011,0.000146,1
bs3,12,100,0.000260,0.000030,0.000011,0.000013,0.000012,0.000171,1
bs3,16,100,0.000333,0.000054,0.000013,0.000012,0.000013,0.000221,1
bs3,20,100,0.000423,0.000060,0.000014,0.000013,0.000014,0.000259,1
bs3,24,100,0.000505,0.000072,0.000015,0.000016,0.000016,0.000308,1
bs3,32,100,0.000671,0.000024,0.000025,0.000026,0.000027,0.000406,1
bs3,48,100,0.001032,0.000267,0.000029,0.000039,0.000033,0.000815,1
bs3,1,300,0.000012,0.000005,0.000009,0.000012,0.000007,0.000055,1
bs3,2,300,0.000049,0.000011,0.000024,0.000018,0.000022,0.000133,1
bs3,3,300,0.000068,0.000011,0.000023,0.000020,0.000026,0.000156,1
bs3,4,300,0.000086,0.000014,0.000024,0.000021,0.000027,0.000183,1
bs3,6,300,0.000118,0.000019,0.000025,0.000023,0.000030,0.000232,1
bs3,8,300,0.000161,0.000032,0.000025,0.000025,0.000034,0.000298,1
bs3,10,300,0.000209,0.000030,0.000024,0.000024,0.000029,0.000366,1
bs3,12,300,0.000240,0.000034,0.000025,0.000026,0.000027,0.000419,1
bs3,16,300,0.000315,0.000045,0.000027,0.000026,0.000028,0.000527,1
bs3,20,300,0.000396,0.000053,0.000025,0.000030,0.000076,0.000648,1
bs3,24,300,0.000459,0.000069,0.000026,0.000032,0.000092,0.000778,1
bs3,32,300,0.000623,0.000142,0.000038,0.000047,0.000130,0.001136,1
bs3,48,300,0.001008,0.000239,0.000044,0.000065,0.000197,0.001738,1
bs3,1,500,0.000014,0.000004,0.000014,0.000020,0.000011,0.000078,1
bs3,2,500,0.000050,0.000007,0.000039,0.000030,0.000038,0.000192,1
bs3,3,500,0.000068,0.000014,0.000040,0.000036,0.000044,0.000254,1
bs3,4,500,0.000093,0.000017,0.000039,0.000034,0.000045,0.000295,1
bs3,6,500,0.000123,0.000019,0.000040,0.000036,0.000038,0.000398,1
bs3,8,500,0.000165,0.000023,0.000039,0.000039,0.000040,0.000488,1
bs3,10,500,0.000194,0.000027,0.000039,0.000037,0.000041,0.000558,1
bs3,12,500,0.000228,0.000037,0.000041,0.000040,0.000084,0.000653,1
