algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs3,1,100,0.000013,0.000004,0.000005,0.000004,0.000003,0.000023,1
bs3,2,100,0.000044,0.000005,0.000009,0.000003,0.000007,0.000041,1
bs3,3,100,0.000062,0.000006,0.000009,0.000003,0.000008,0.000050,1
bs3,4,100,0.000080,0.000018,0.000010,0.000003,0.000009,0.000070,1
bs3,6,100,0.000119,0.000018,0.000010,0.000003,0.000011,0.000089,1
bs3,8,100,0.000155,0.000027,0.000011,0.000003,0.000010,0.000118,1
bs3,10,100,0.000183,0.000028,0.000011,0.000004,0.000011,0.000132,1
bs3,12,100,0.000223,0.000037,0.000012,0.000003,0.000013,0.000157,1
bs3,16,100,0.000296,0.000046,0.000013,0.000005,0.000013,0.000197,1
bs3,20,100,0.000395,0.000063,0.000015,0.000005,0.000015,0.000258,1
bs3,24,100,0.000459,0.000054,0.000016,0.000006,0.000015,0.000280,1
bs3,32,100,0.000657,0.000155,0.000031,0.000012,0.000026,0.000526,1
bs3,48,100,0.001042,0.000260,0.000032,0.000016,0.000032,0.000789,1
bs3,1,300,0.000007,0.000004,0.000009,0.000009,0.000007,0.000051,1
bs3,2,300,0.000034,0.000005,0.000022,0.000005,0.000021,0.000105,1
bs3,3,300,0.000050,0.000011,0.000023,0.000005,0.000025,0.000136,1
bs3,4,300,0.000072,0.000013,0.000024,0.000005,0.000027,0.000165,1
bs3,6,300,0.000107,0.000018,0.000024,0.000004,0.000031,0.000209,1
bs3,8,300,0.000143,0.000020,0.000025,0.000004,0.000039,0.000273,1
bs3,10,300,0.000193,0.000026,0.000026,0.000004,0.000027,0.000340,1
bs3,12,300,0.000227,0.000036,0.000025,0.000005,0.000027,0.000402,1
bs3,16,300,0.000290,0.000047,0.000026,0.000005,0.000028,0.000505,1
bs3,20,300,0.000388,0.000056,0.000026,0.000006,0.000076,0.000693,1
bs3,24,300,0.000451,0.000071,0.000024,0.000008,0.000089,0.000744,1
bs3,32,300,0.000588,0.000121,0.000036,0.000016,0.000129,0.001074,1
bs3,48,300,0.000980,0.000225,0.000040,0.000022,0.000194,0.001644,1
bs3,1,500,0.000010,0.000004,0.000013,0.000015,0.000011,0.000073,1
bs3,2,500,0.000034,0.000007,0.000036,0.000008,0.000034,0.000161,1
bs3,3,500,0.000049,0.000017,0.000039,0.000006,0.000039,0.000214,1
bs3,4,500,0.000080,0.000014,0.000039,0.000006,0.000044,0.000257,1
bs3,6,500,0.000112,0.000021,0.000039,0.000005,0.000038,0.000364,1
bs3,8,500,0.000141,0.000024,0.000040,0.000005,0.000039,0.000433,1
bs3,10,500,0.000198,0.000030,0.000040,0.000005,0.000041,0.000525,1
bs3,12,500,0.000235,0.000034,0.000037,0.000006,0.000084,0.000618,1
bs3,16,500,0.000666,0.000042,0.000040,0.000006,0.000103,0.000800,1
bs3,20,500,0.000374,0.000064,0.000038,0.000008,0.000122,0.000986,1
bs3,24,500,0.000444,0.000076,0.000034,0.000009,0.000139,0.001161,1
bs3,32,500,0.000615,0.000018,0.000050,0.000015,0.000209,0.001542,1
bs3,48,500,0.001051,0.000041,0.000063,0.000021,0.000296,0.002365,1
bs3,1,1000,0.000011,0.000006,0.000026,0.000026,0.000021,0.000139,1
bs3,2,1000,0.000035,0.000010,0.000069,0.000013,0.000063,0.000321,1
bs3,3,1000,0.000051,0.000016,0.000073,0.000010,0.000064,0.000417,1
bs3,4,1000,0.000078,0.000015,0.000079,0.000009,0.000076,0.000504,1
bs3,6,1000,0.000117,0.000021,0.000075,0.000007,0.000114,0.000676,1
bs3,8,1000,0.000149,0.000024,0.000074,0.000007,0.000129,0.000836,1
bs3,10,1000,0.000196,0.000030,0.000077,0.000025,0.000154,0.001043,1
bs3,12,1000,0.000223,0.000039,0.000070,0.000007,0.000168,0.001187,1
bs3,16,1000,0.000306,0.000050,0.000073,0.000007,0.000210,0.001543,1
bs3,20,1000,0.000426,0.000059,0.000066,0.000008,0.000250,0.001871,1
bs3,24,1000,0.000435,0.000081,0.000059,0.000009,0.000350,0.002334,1
bs3,32,1000,0.000610,0.000113,0.000084,0.000017,0.000408,0.003184,1
bs3,48,1000,0.001039,0.000247,0.000092,0.000036,0.000583,0.004937,1
bs3,1,2000,0.000019,0.000013,0.000049,0.000049,0.000041,0.000296,1
bs3,2,2000,0.000043,0.000030,0.000134,0.000025,0.000106,0.000626,1
bs3,3,2000,0.000055,0.000026,0.000141,0.000019,0.000168,0.000808,1
bs3,4,2000,0.000085,0.000023,0.000145,0.000015,0.000191,0.000984,1
bs3,6,2000,0.000123,0.000029,0.000144,0.000012,0.000227,0.001324,1
bs3,8,2000,0.000159,0.000028,0.000146,0.000012,0.000265,0.001655,1
bs3,10,2000,0.000201,0.000039,0.000142,0.000010,0.000308,0.001990,1
bs3,12,2000,0.000225,0.000041,0.000107,0.000010,0.000290,0.002246,1
bs3,16,2000,0.000311,0.000046,0.000103,0.000009,0.000432,0.003068,1
bs3,20,2000,0.000374,0.000064,0.000102,0.000009,0.000450,0.003721,1
bs3,24,2000,0.000438,0.000080,0.000104,0.000010,0.000549,0.004530,1
bs3,32,2000,0.000626,0.000036,0.000152,0.000019,0.000752,0.006077,1
bs3,48,2000,0.001001,0.000084,0.000148,0.000019,0.001159,0.009264,1
bs3,1,5000,0.000045,0.000029,0.000122,0.000096,0.000101,0.000684,1
bs3,2,5000,0.000057,0.000060,0.000339,0.000057,0.000358,0.001565,1
bs3,3,5000,0.000071,0.000053,0.000357,0.000041,0.000439,0.002069,1
bs3,4,5000,0.000095,0.000043,0.000358,0.000032,0.000487,0.002440,1
bs3,6,5000,0.000132,0.000039,0.000356,0.000024,0.000577,0.003295,1
bs3,8,5000,0.000165,0.000046,0.000364,0.000021,0.000685,0.004384,1
