n_elems,n_threads,static_calc,static_default,static_1,dynamic_calc,dynamic_default
100,1,0.000014,0.000002,0.000003,0.000004,0.000003
100,2,0.000056,0.000003,0.000002,0.000004,0.000007
100,8,0.000171,0.000007,0.000006,0.000008,0.000013
100,16,0.000338,0.000012,0.000011,0.000012,0.000017
100,32,0.000666,0.000025,0.000026,0.000034,0.000030
100,48,0.001034,0.000030,0.000030,0.000038,0.000047
1000,1,0.000016,0.000008,0.000008,0.000008,0.000016
1000,2,0.000056,0.000005,0.000006,0.000007,0.000055
1000,8,0.000170,0.000007,0.000010,0.000008,0.000076
1000,16,0.000327,0.000013,0.000014,0.000013,0.000075
1000,32,0.000702,0.000027,0.000027,0.000029,0.000115
1000,48,0.001033,0.000032,0.000037,0.000039,0.000101
10000,1,0.000097,0.000065,0.000059,0.000062,0.000151
10000,2,0.000091,0.000032,0.000033,0.000033,0.000603
10000,8,0.000181,0.000013,0.000045,0.000015,0.000650
10000,16,0.000317,0.000014,0.000068,0.000015,0.000435
10000,32,0.000688,0.000020,0.000060,0.000023,0.000567
10000,48,0.001032,0.000024,0.000050,0.000029,0.000579
100000,1,0.000852,0.000586,0.000587,0.000582,0.001513
100000,2,0.000492,0.000297,0.000333,0.000296,0.006300
100000,8,0.000287,0.000079,0.000127,0.000081,0.006678
100000,16,0.000394,0.000048,0.000566,0.000051,0.006944
100000,32,0.000706,0.000040,0.000313,0.000051,0.007534
100000,48,0.001093,0.000046,0.000199,0.000056,0.007509
1000000,1,0.007796,0.005957,0.005883,0.005844,0.014956
1000000,2,0.003627,0.002924,0.002996,0.002918,0.059616
1000000,8,0.001287,0.000742,0.000910,0.000778,0.067660
1000000,16,0.001089,0.000382,0.002936,0.000394,0.062479
1000000,32,0.001355,0.000218,0.002530,0.000260,0.075394
1000000,48,0.001700,0.000167,0.001603,0.000211,0.074647
10000000,1,0.071566,0.060717,0.060533,0.060487,0.150394
10000000,2,0.035482,0.030483,0.041639,0.030433,0.725671
10000000,8,0.009500,0.007695,0.009961,0.007657,0.669668
10000000,16,0.005327,0.003867,0.018203,0.003904,0.634293
10000000,32,0.003617,0.001943,0.019406,0.002120,0.742040
10000000,48,0.003306,0.001300,0.012778,0.001464,0.736220
